Data;Item;Link;Preço;Vendidos
27/09/2022;Brandnew jieshuo rx 6600m 8g 128bit gddr6 hashrate até 31mh, amd radeon rx6600m 8gb jogos ou mineração, placa gráfica do computador ;https://pt.aliexpress.com/item/1005004101641050.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-0&pdp_ext_f=%7B%22sku_id%22%3A%2212000030151920766%22%7D&pdp_npi=2%40dis%21BRL%211177.8%211177.8%21%21%21%21%21%402101e9d316643078208767883e4770%2112000030151920766%21sea&curPageLogUid=UknKMNU1s5Zb;R$1.177,8;2475  vendido(s)
27/09/2022;Rx6600m placa gráfica 8gb gddr6 128bit pci-e 4.0 x8 3 dp hd placa de vídeo para amd radeon rx 6600m 8g 128 bit gaming rx 6600 rx6600 ;https://pt.aliexpress.com/item/1005004751898900.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-1&pdp_ext_f=%7B%22sku_id%22%3A%2212000030340859536%22%7D&pdp_npi=2%40dis%21BRL%212682.67%211153.56%21%21%21%21%21%402101e9d316643078208767883e4770%2112000030340859536%21sea&curPageLogUid=psG1eEIhLJOF;R$1.153,56;33  vendido(s)
27/09/2022;Rx 6600m placa gráfica 8 gb 128bit gddr6 placa de vídeo do jogo para amd radeon rx6600m 8 gb pcie pci-e 4.0 3 * dp hd slot desktop do pc gpu ;https://pt.aliexpress.com/item/1005004732412410.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-2&pdp_ext_f=%7B%22sku_id%22%3A%2212000030271013635%22%7D&pdp_npi=2%40dis%21BRL%212551.86%211199.37%21%21%21%21%21%402101e9d316643078208767883e4770%2112000030271013635%21sea&curPageLogUid=5j5dDAa2nFij;R$1.199,37;59  vendido(s)
27/09/2022;Nova onda rx 6600 8g gddr6 placa gráfica rx6600m 128bit hash 30 + mh amd radeon rx6600 gaming mineração computador placas de vídeo desktop ;https://pt.aliexpress.com/item/1005004763505462.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-3&pdp_ext_f=%7B%22sku_id%22%3A%2212000030382143126%22%7D&pdp_npi=2%40dis%21BRL%211247.0%211247.0%21%21%21%21%21%402101e9d316643078208767883e4770%2112000030382143126%21sea&curPageLogUid=tPHJJsNelZx7;R$1.247;3  vendido(s)
27/09/2022;Jieshuo novo amd radeon rx 6600 8gb placa de vídeo gddr6 128bit rx 6600m desktop gaming placa gráfica suporte amd intel desktop cpu ;https://pt.aliexpress.com/item/1005003965036417.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&aem_p4p_detail=20220927124341424293001392780007033571&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-4&pdp_ext_f=%7B%22sku_id%22%3A%2212000027592741259%22%7D&pdp_npi=2%40dis%21BRL%211177.8%211177.8%21%21%21%21%21%402101e9d316643078208767883e4770%2112000027592741259%21sea&curPageLogUid=uaUdzpf6lPHP&ad_pvid=20220927124341424293001392780007033571_1;R$1.177,8;494  vendido(s)
27/09/2022;Rx 6600m placa gráfica 8g 128bit gddr6 placa de vídeo do jogo para amd radeon rx6600m 8 gb pcie pci-e 4.0 3 * dp hd slot desktop do pc gpu ;https://pt.aliexpress.com/item/1005004763971796.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-5&pdp_ext_f=%7B%22sku_id%22%3A%2212000030384140700%22%7D&pdp_npi=2%40dis%21BRL%211098.52%211098.52%21%21%2147.68%21%21%402101e9d316643078208767883e4770%2112000030384140700%21sea&curPageLogUid=qQ372hXrcoh9;R$1.098,52;5890  vendido(s)
27/09/2022;Radeon rx6600m rx6600 8gb placa gráfica gpu gddr6 128-bit 14 gbps 7nm placa de vídeo do computador suporte amd intel desktop cpu ;https://pt.aliexpress.com/item/1005004763242596.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-6&pdp_ext_f=%7B%22sku_id%22%3A%2212000030381070599%22%7D&pdp_npi=2%40dis%21BRL%211336.35%211336.35%21%21%2147.68%21%21%402101e9d316643078208767883e4770%2112000030381070599%21sea&curPageLogUid=lJqpai6XDNxG;R$1.336,35;677  vendido(s)
27/09/2022;Sheli 51risc rx6600 8gb placa gráfica gpu gddr6 128-bit 14 gbps 7nm nova placa de vídeo suporte desktop cpu placa de vídeo ;https://pt.aliexpress.com/item/1005004291954195.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-7&pdp_ext_f=%7B%22sku_id%22%3A%2212000028653295477%22%7D&pdp_npi=2%40dis%21BRL%211739.18%211217.44%21%21%21%21%21%402101e9d316643078208767883e4770%2112000028653295477%21sea&curPageLogUid=MvtXiKReWW8G;R$1.217,44;2  vendido(s)
27/09/2022;Nova marca jieshuo rx 6600m 8g 128bit gddr6 hashrate até 31mh, amd radeon rx 6600, jogos ou mineração, placa gráfica do computador ;https://pt.aliexpress.com/item/1005004160342022.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-8&pdp_ext_f=%7B%22sku_id%22%3A%2212000028557974337%22%7D&pdp_npi=2%40dis%21BRL%211177.8%211177.8%21%21%21%21%21%402101e9d316643078208767883e4770%2112000028557974337%21sea&curPageLogUid=dZNw7WK0Fqdy;R$1.177,8;411  vendido(s)
27/09/2022;Soyo radeon rx6600m 8gb placa gráfica gpu gddr6 128-bit 14 gbps 7nm marca nova placa de vídeo do computador suporte amd intel desktop cpu ;https://pt.aliexpress.com/item/1005004766977122.html?algo_pvid=be47743a-131a-45fd-9a52-100ca15bf2ba&aem_p4p_detail=20220927124341424293001392780007033571&algo_exp_id=be47743a-131a-45fd-9a52-100ca15bf2ba-9&pdp_ext_f=%7B%22sku_id%22%3A%2212000030397704587%22%7D&pdp_npi=2%40dis%21BRL%211609.74%211126.84%21%21%21%21%21%402101e9d316643078208767883e4770%2112000030397704587%21sea&curPageLogUid=eVAOPOC6omMA&ad_pvid=20220927124341424293001392780007033571_3;R$1.126,84;25  vendido(s)
